"","X","teamRslt","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFG.","team2P.","team3P.","teamFT.","teamTRB","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFG.","oppt2P.","oppt3P.","opptFT.","opptTRB"
"8394",8394,"Loss",19,11,5,2,12,0.3407,0.4355,0.1379,0.6923,45,27,13,8,11,15,0.4535,0.4762,0.3913,0.8333,54
"8395",8395,"Win",23,11,4,3,34,0.5063,0.5357,0.4348,0.6875,42,20,9,7,6,25,0.425,0.4655,0.3182,0.6458,41
"8396",8396,"Loss",20,9,7,6,25,0.425,0.4655,0.3182,0.6458,41,23,11,4,3,34,0.5063,0.5357,0.4348,0.6875,42
"8397",8397,"Loss",16,14,8,4,20,0.3596,0.4194,0.2222,0.7778,45,26,16,8,7,16,0.4524,0.4839,0.3636,0.7647,54
"8398",8398,"Win",26,16,8,7,16,0.4524,0.4839,0.3636,0.7647,54,16,14,8,4,20,0.3596,0.4194,0.2222,0.7778,45
"8399",8399,"Loss",24,11,9,5,19,0.4932,0.5185,0.4211,0.6897,26,25,14,6,4,22,0.5541,0.5854,0.5152,0.8846,40
"8400",8400,"Win",25,14,6,4,22,0.5541,0.5854,0.5152,0.8846,40,24,11,9,5,19,0.4932,0.5185,0.4211,0.6897,26
"8401",8401,"Loss",26,17,11,4,18,0.5342,0.5441,0.4,0.7917,27,31,17,11,10,24,0.5517,0.6567,0.2,0.6429,37
"8402",8402,"Win",31,17,11,10,24,0.5517,0.6567,0.2,0.6429,37,26,17,11,4,18,0.5342,0.5441,0.4,0.7917,27
"8403",8403,"Win",22,7,10,5,21,0.4457,0.493,0.2857,0.7895,48,16,14,4,6,18,0.3765,0.4561,0.2143,0.8889,53
"8404",8404,"Loss",16,14,4,6,18,0.3765,0.4561,0.2143,0.8889,53,22,7,10,5,21,0.4457,0.493,0.2857,0.7895,48
"8405",8405,"Loss",17,11,6,7,16,0.4444,0.4918,0.3,1,30,25,10,6,6,18,0.4886,0.5,0.4667,0.7143,54
